FILE                                      IDX KIND  LABEL                EXPECT  VERDICT  COUNT NET0 
corpus/alloytools-models/models/examples/algorithms/opt_spantree.als    2 check Closure              unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/algorithms/peterson.als    0 run   TwoRun               sat     UNSAT       - MISMATCH
corpus/alloytools-models/models/examples/algorithms/peterson.als    1 run   ThreeRun             sat     UNSAT       - MISMATCH
corpus/alloytools-models/models/examples/algorithms/peterson.als    2 check Safety               unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/algorithms/peterson.als    3 check NotStuck             unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/algorithms/ringlead.als    0 run   NeverFindLeader      sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/ringlead.als    1 check Liveness             unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/algorithms/ringlead.als    2 check OneLeader            unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/algorithms/ringlead.als    3 run   SomeLeader           sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/ringlead.als    4 check LeaderHighest        unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/algorithms/s_ringlead.als    0 run   BadLivenessTrace     unsat   <ERROR:Command> Analysis cannot be performed since it requires higher-order quantification that could not be skolemized.      - -    
corpus/alloytools-models/models/examples/algorithms/s_ringlead.als    1 run   SomeLeader           sat     <ERROR:Command> Analysis cannot be performed since it requires higher-order quantification that could not be skolemized.      - -    
corpus/alloytools-models/models/examples/algorithms/s_ringlead.als    2 check Safety               unsat   <ERROR:Command> Analysis cannot be performed since it requires higher-order quantification that could not be skolemized.      - -    
corpus/alloytools-models/models/examples/algorithms/s_ringlead.als    3 run   AltTrans             sat     <ERROR:Command> Analysis cannot be performed since it requires higher-order quantification that could not be skolemized.      - -    
corpus/alloytools-models/models/examples/algorithms/stable_mutex_ring.als    0 run   TraceShorterThanMaxSimpleLoop sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/stable_mutex_ring.als    1 run   TwoPrivileged        sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/stable_mutex_ring.als    2 check Closure              unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/algorithms/stable_orient_ring.als    0 run   SomeState            sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/stable_orient_ring.als    1 check Closure              sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/stable_ringlead.als    0 run   ConvergingRun        sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/stable_ringlead.als    1 run   DTraceWithoutLoop    sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/stable_ringlead.als    2 run   DBadLivenessTrace    sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/stable_ringlead.als    3 run   CTraceWithoutLoop    unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/algorithms/stable_ringlead.als    4 run   CBadLivenessTrace    sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/stable_ringlead.als    5 check CMustConverge        unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als    0 check Same1                unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als    1 check Same2                unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als    2 check SameFC               unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als    3 run   ShowMeFC             sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als    4 check SameCPF              unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als    5 check SameCPF1             unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als    6 check SameCPF2             unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als    7 run   ShowMeCPF            sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als    8 check FPisActive           sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als    9 check SameFP               sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als   10 check SameFP1              unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als   11 check SameFP2              unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als   12 run   ShowMe1Node          sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als   13 run   ShowMe1              sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als   14 run   ShowMe2              sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als   15 check InjectiveIds         unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/chord.als   16 check FindSuccessorWorks   sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/chord2.als    0 check FindSuccessorWorks   unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/chordbugmodel.als    0 run   ShowMe1Node          sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/chordbugmodel.als    1 run   ShowMeGood           sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/chordbugmodel.als    2 run   ShowMeCorrectSuccessorEg sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/chordbugmodel.als    3 run   ShowMe3              sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/chordbugmodel.als    4 run   FindSuccessorWorks   unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/chordbugmodel.als    5 check StrongerFindSuccessorWorks sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/com.als    0 check Theorem1             unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/com.als    1 check Theorem2             unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/com.als    2 check Theorem3             unsat   UNSAT       - ok   
